v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,2517,0x13a4bc0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2521,0x13a4d20,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2525,0x13a4e80,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2529,0x13a4fe0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,2532,0x13a6aa0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2535,0x13a9480,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2539,0x13aaf40,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2543,0x13ac8c0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2546,0x13aed80,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2550,0x13b42e0,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2554,0x13b67a0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2558,0x13b9800,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2561,0x13b9b00,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2564,0x13b9bc0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2567,0x13b9c20,156,EnqueueMicrotask
code-creation,Builtin,3,2570,0x13b9cc0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2573,0x13b9ce0,2472,RunMicrotasks
code-creation,Builtin,3,2576,0x13ba6a0,2338,HasProperty
code-creation,Builtin,3,2579,0x13bafe0,1108,DeleteProperty
code-creation,Builtin,3,2582,0x13bb440,1847,CopyDataProperties
code-creation,Builtin,3,2585,0x13bbb80,8794,SetDataProperties
code-creation,Builtin,3,2588,0x13bdde0,36,Abort
code-creation,Builtin,3,2590,0x13bde20,36,AbortCSAAssert
code-creation,Builtin,3,2593,0x13bde60,12,EmptyFunction
code-creation,Builtin,3,2597,0x13bde80,12,Illegal
code-creation,Builtin,3,2599,0x13bdea0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2603,0x13bdec0,12,UnsupportedThrower
code-creation,Builtin,3,2606,0x13bdee0,65,ReturnReceiver
code-creation,Builtin,3,2608,0x13bdf40,36,ArrayConstructor
code-creation,Builtin,3,2611,0x13bdf80,413,ArrayConstructorImpl
code-creation,Builtin,3,2614,0x13be120,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2623,0x13be200,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2628,0x13be2e0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2634,0x13be3a0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2639,0x13be460,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2644,0x13be520,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2649,0x13be5e0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2655,0x13be6c0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2661,0x13be7a0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2667,0x13be9c0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2671,0x13bebc0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2679,0x13bed80,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2685,0x13bef20,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2691,0x13bf0e0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2696,0x13bf280,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2702,0x13bf460,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2707,0x13bf620,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2711,0x13bf680,12,ArrayConcat
code-creation,Builtin,3,2715,0x13bf6a0,12,ArrayPrototypeFill
code-creation,Builtin,3,2719,0x13bf6c0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2724,0x13bfa80,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2729,0x13bfb20,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2733,0x13bfc00,561,ArrayIncludes
code-creation,Builtin,3,2737,0x13bfe40,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2742,0x13c01c0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2746,0x13c0240,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2751,0x13c02c0,569,ArrayIndexOf
code-creation,Builtin,3,2755,0x13c0500,12,ArrayPop
code-creation,Builtin,3,2759,0x13c0520,674,ArrayPrototypePop
code-creation,Builtin,3,2764,0x13c07e0,12,ArrayPush
code-creation,Builtin,3,2768,0x13c0800,2758,ArrayPrototypePush
code-creation,Builtin,3,2772,0x13c12e0,12,ArrayShift
code-creation,Builtin,3,2775,0x13c1300,12,ArrayUnshift
code-creation,Builtin,3,2779,0x13c1320,1074,CloneFastJSArray
code-creation,Builtin,3,2783,0x13c1760,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2788,0x13c2120,1082,ExtractFastJSArray
code-creation,Builtin,3,2792,0x13c2560,287,ArrayPrototypeEntries
code-creation,Builtin,3,2796,0x13c2680,271,ArrayPrototypeKeys
code-creation,Builtin,3,2800,0x13c27a0,287,ArrayPrototypeValues
code-creation,Builtin,3,2804,0x13c28c0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2808,0x13c39c0,3968,FlattenIntoArray
code-creation,Builtin,3,2812,0x13c4960,3992,FlatMapIntoArray
code-creation,Builtin,3,2817,0x13c5900,508,ArrayPrototypeFlat
code-creation,Builtin,3,2821,0x13c5b00,556,ArrayPrototypeFlatMap
